s,d,h,arvosuhde
1,19,11,0.70
1,19,13,0.77
1,19,15,0.80
1,19,17,0.80
1,19,19,0.80
1,19,21,0.79
1,19,23,0.82
1,19,25,0.85
1,19,27,0.90
1,19,29,0.95
1,21,11,0.73
1,21,13,0.82
1,21,15,0.86
1,21,17,0.87
1,21,19,0.87
1,21,21,0.87
1,21,23,0.90
1,21,25,0.94
1,21,27,1.00
1,21,29,1.06
1,23,11,0.75
1,23,13,0.86
1,23,15,0.91
1,23,17,0.93
1,23,19,0.94
1,23,21,0.95
1,23,23,0.98
1,23,25,1.03
1,23,27,1.08
1,23,29,1.15
1,25,11,0.78
1,25,13,0.89
1,25,15,0.96
1,25,17,0.99
1,25,19,1.01
1,25,21,1.02
1,25,23,1.06
1,25,25,1.11
1,25,27,1.17
1,25,29,1.24
1,27,11,0.80
1,27,13,0.93
1,27,15,1.00
1,27,17,1.04
1,27,19,1.07
1,27,21,1.08
1,27,23,1.13
1,27,25,1.18
1,27,27,1.24
1,27,29,1.32
1,29,11,0.82
1,29,13,0.96
1,29,15,1.04
1,29,17,1.09
1,29,19,1.12
1,29,21,1.14
1,29,23,1.19
1,29,25,1.24
1,29,27,1.31
1,29,29,1.39
1,31,11,0.84
1,31,13,0.99
1,31,15,1.08
1,31,17,1.13
1,31,19,1.17
1,31,21,1.20
1,31,23,1.25
1,31,25,1.31
1,31,27,1.38
1,31,29,1.46
1,33,11,0.86
1,33,13,1.02
1,33,15,1.11
1,33,17,1.18
1,33,19,1.22
1,33,21,1.25
1,33,23,1.30
1,33,25,1.36
1,33,27,1.44
1,33,29,1.53
1,35,11,0.89
1,35,13,1.04
1,35,15,1.15
1,35,17,1.21
1,35,19,1.26
1,35,21,1.30
1,35,23,1.35
1,35,25,1.42
1,35,27,1.50
1,35,29,1.59
1,37,11,0.91
1,37,13,1.07
1,37,15,1.18
1,37,17,1.25
1,37,19,1.30
1,37,21,1.34
1,37,23,1.40
1,37,25,1.47
1,37,27,1.55
1,37,29,1.64
1,39,11,0.93
1,39,13,1.09
1,39,15,1.21
1,39,17,1.28
1,39,19,1.34
1,39,21,1.39
1,39,23,1.44
1,39,25,1.52
1,39,27,1.60
1,39,29,1.70
1,41,11,0.96
1,41,13,1.12
1,41,15,1.23
1,41,17,1.32
1,41,19,1.38
1,41,21,1.43
1,41,23,1.49
1,41,25,1.56
1,41,27,1.65
1,41,29,1.75
1,43,11,0.98
1,43,13,1.15
1,43,15,1.26
1,43,17,1.35
1,43,19,1.41
1,43,21,1.46
1,43,23,1.53
1,43,25,1.60
1,43,27,1.69
1,43,29,1.80
1,45,11,1.01
1,45,13,1.17
1,45,15,1.29
1,45,17,1.38
1,45,19,1.44
1,45,21,1.50
