alr,mty,sdom,hdom,g0,g1
1,1,1,10,24,15.3
1,1,1,12,24,15.3
1,1,1,14,24,17.6
1,1,1,16,26.1,19
1,1,1,18,27.4,19.6
1,1,1,20,28.1,19.9
1,1,1,22,28,19.9
1,1,1,24,28,19.9
1,1,1,26,28,19.9
1,1,2,10,24,15.2
1,1,2,12,24,15.2
1,1,2,14,27,18.4
1,1,2,16,30,20.9
1,1,2,18,32,22.8
1,1,2,20,33,23.9
1,1,2,22,33,23.9
1,1,2,24,33,23.9
1,1,2,26,33,23.9
1,1,3,10,16,8.5
1,1,3,12,16,8.5
1,1,3,14,16.9,10.9
1,1,3,16,18.9,12.7
1,1,3,18,19.8,14.1
1,1,3,20,20.7,15
1,1,3,22,20.7,15
1,1,3,24,20.7,15
1,1,3,26,20.7,15
1,1,4,10,14,10.4
1,1,4,12,14,10.4
1,1,4,14,16,11.7
1,1,4,16,17.4,12.7
1,1,4,18,18.9,13.4
1,1,4,20,18.9,13.4
1,1,4,22,18.9,13.4
1,1,4,24,18.9,13.4
1,1,4,26,18.9,13.4
1,2,1,10,24,15.3
1,2,1,12,24,15.3
1,2,1,14,24,17.6
1,2,1,16,26.1,19
1,2,1,18,27.4,19.6
1,2,1,20,28.1,19.9
1,2,1,22,28,19.9
1,2,1,24,28,19.9
1,2,1,26,28,19.9
1,2,2,10,24,15.3
1,2,2,12,24,15.3
1,2,2,14,24,17.6
1,2,2,16,26.1,19
1,2,2,18,27.4,19.6
1,2,2,20,28.1,19.9
1,2,2,22,28,19.9
1,2,2,24,28,19.9
1,2,2,26,28,19.9
1,2,3,10,16,8.5
1,2,3,12,16,8.5
1,2,3,14,16.9,10.9
1,2,3,16,18.9,12.7
1,2,3,18,19.8,14.1
1,2,3,20,20.7,15
1,2,3,22,20.7,15
1,2,3,24,20.7,15
1,2,3,26,20.7,15
1,2,4,10,14,10.4
1,2,4,12,14,10.4
1,2,4,14,16,11.7
1,2,4,16,17.4,12.7
1,2,4,18,18.9,13.4
1,2,4,20,18.9,13.4
1,2,4,22,18.9,13.4
1,2,4,24,18.9,13.4
1,2,4,26,18.9,13.4
1,3,1,10,20,14.2
1,3,1,12,20,14.2
1,3,1,14,21.9,15.9
1,3,1,16,24.9,17
1,3,1,18,25.8,17.6
1,3,1,20,25.7,17.9
1,3,1,22,25.7,18.1
1,3,1,24,25.7,18.1
